location,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow
lat,55.87006,55.87006,55.87006,55.87006,55.87006,55.87006,55.87006,55.87006
lon,-4.29523,-4.29523,-4.29523,-4.29523,-4.29523,-4.29523,-4.29523,-4.29523
asl,58.954,58.954,58.954,58.954,58.954,58.954,58.954,58.954
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Wind Speed,Wind Direction,Wind Speed,Wind Direction
unit,°C,%,hPa,mm,km/h,°,km/h,°
level,2 m elevation corrected,2 m,MSL,sfc,10 m,10 m,80 m,80 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None
timestamp,Glasgow Temperature (°C) [2 m elevation corrected],Glasgow Relative Humidity (%) [2 m],Glasgow Mean Sea Level Pressure (hPa) [MSL],Glasgow Precipitation Total (mm) ,Glasgow Wind Speed (km/h) [10 m],Glasgow Wind Direction (°) [10 m],Glasgow Wind Speed (km/h) [80 m],Glasgow Wind Direction (°) [80 m]
20200712T1100,16.623198,62.0,1026.4,0.0,12.875693,245.55606,18.532133,245.9245
20200712T1200,17.543198,57.0,1026.0,0.0,13.824594,244.91641,19.813087,245.29758
20200712T1300,18.043198,55.0,1025.0,0.0,13.939619,243.92465,19.966211,244.359
20200712T1400,18.573198,53.0,1024.6,0.0,14.209388,239.58893,20.497883,239.3814
20200712T1500,19.003197,56.0,1024.2,0.0,14.2791395,233.3439,20.808498,232.7336
20200712T1600,19.403198,58.0,1023.7,0.0,14.977747,231.49934,22.039528,231.63252
20200712T1700,19.283197,50.0,1023.2,0.0,17.519724,225.61606,26.729847,225.54565
20200712T1800,18.803198,50.0,1023.0,0.0,16.957777,223.72697,26.493652,222.7974
20200712T1900,18.063198,54.0,1023.1,0.0,16.47593,219.09386,26.368616,218.90414
20200712T2000,17.183197,58.0,1022.2,0.0,15.35213,218.65982,26.089443,219.40067
20200712T2100,16.373198,63.0,1022.1,0.0,14.439765,217.50414,25.133053,218.01895
20200712T2200,15.663198,68.0,1022.0,0.0,12.315059,218.85338,22.771244,219.22568
20200712T2300,14.663198,74.0,1021.8,0.0,12.566063,212.00539,22.86496,213.43987
20200713T0000,13.833199,82.0,1021.0,0.0,12.2919855,209.8989,22.66857,212.68056
20200713T0100,13.763199,87.0,1020.5,0.0,11.458298,215.53767,21.028437,218.04704
20200713T0200,13.903198,88.0,1020.4,0.0,11.529304,220.3141,22.159746,223.02507
20200713T0300,14.083199,89.0,1019.3,0.0,12.432633,225.0,23.441502,227.48956
20200713T0400,13.863198,92.0,1018.6,0.0,14.020842,231.17018,26.42753,232.19348
20200713T0500,13.903198,91.0,1017.9,0.0,13.855361,232.0284,26.282465,233.91493
20200713T0600,13.993198,91.0,1017.8,0.2,14.346079,238.67131,26.486313,238.9027
20200713T0700,14.553199,88.0,1017.9,0.0,14.447134,247.2176,25.0064,247.12634
20200713T0800,14.773198,87.0,1017.2,0.0,14.020842,255.69974,22.963936,256.39948
20200713T0900,15.283198,82.0,1017.8,0.0,15.460384,268.0251,24.850431,268.33972
20200713T1000,15.313198,80.0,1017.9,0.0,16.259132,271.87787,25.60053,273.22452
20200713T1100,15.323198,75.0,1018.4,0.0,15.986219,270.95483,24.842607,270.83032
20200713T1200,16.253197,71.0,1018.5,0.0,17.590471,271.73572,26.302181,272.3533
20200713T1300,16.863197,73.0,1016.8,0.0,17.5824,270.0,27.72,270.0
20200713T1400,16.433197,75.0,1016.4,0.0,18.944393,273.22452,29.574827,273.48932
20200713T1500,15.933199,74.0,1016.5,0.0,17.182283,277.125,26.478973,277.0284
20200713T1600,15.503199,75.0,1016.6,0.0,16.68991,278.25946,26.6327,279.335
20200713T1700,15.023198,77.0,1016.6,0.0,18.458654,290.2657,30.421598,290.79413
20200713T1800,14.903198,74.0,1017.0,0.0,19.425291,295.1593,31.079075,295.37775
20200713T1900,14.1231985,74.0,1017.3,0.0,18.588919,295.46335,29.62518,295.94232
20200713T2000,13.263199,76.0,1017.2,0.0,17.420197,293.42868,28.694056,293.67053
20200713T2100,12.6231985,78.0,1017.3,0.0,16.869665,291.29736,28.412645,292.34064
20200713T2200,12.023198,82.0,1017.4,0.0,15.932858,290.55603,26.807312,292.08716
20200713T2300,11.493198,85.0,1017.7,0.0,14.9112625,288.75867,26.081993,290.1858
20200714T0000,11.433199,86.0,1017.9,0.0,14.417629,286.09082,25.729298,287.92792
20200714T0100,11.3731985,84.0,1017.7,0.0,15.081629,287.4748,26.867676,287.9494
20200714T0200,10.903198,89.0,1016.9,0.0,9.073257,266.63354,20.519999,270.0
20200714T0300,10.713199,90.0,1016.5,0.0,10.685928,274.28915,24.087738,279.46234
20200714T0400,10.683199,91.0,1016.0,0.0,12.280433,282.5288,25.862436,286.1645
20200714T0500,10.383199,94.0,1015.6,0.0,11.308671,285.01837,24.482647,289.76718
20200714T0600,10.853198,92.0,1015.7,0.0,11.566177,284.6764,21.9718,288.1381
20200714T0700,12.003199,86.0,1015.3,0.0,12.8093815,286.92752,21.746502,289.3348
20200714T0800,12.663198,82.0,1015.7,0.0,13.906487,286.69925,23.000591,287.30054
20200714T0900,13.213199,79.0,1015.9,0.0,15.335942,287.1759,24.933735,287.65012
20200714T1000,13.513199,78.0,1015.4,0.0,16.4328,286.96616,26.072052,287.6844
20200714T1100,13.783198,76.0,1015.9,0.0,16.800106,284.69733,26.459389,284.98163
20200714T1200,14.993198,72.0,1015.5,0.0,16.413353,283.13403,25.233406,284.03625
20200714T1300,15.503199,70.0,1015.2,0.0,16.413353,283.13403,25.068514,282.43958
20200714T1400,14.833199,72.0,1014.7,0.1,14.015779,261.25385,21.841648,261.46924
20200714T1500,14.703198,74.0,1014.4,0.1,13.449903,262.0304,20.721119,262.01068
20200714T1600,15.343199,72.0,1014.5,0.0,14.420093,258.2749,20.969805,258.11133
20200714T1700,15.223199,75.0,1014.2,0.0,14.67378,254.1975,21.41319,253.39302
20200714T1800,14.153198,79.0,1013.8,0.0,13.906488,249.82935,21.068459,250.0169
20200714T1900,14.203198,80.0,1013.8,0.0,13.407623,249.04422,20.393293,249.32558
20200714T2000,13.883199,83.0,1013.2,0.0,11.308671,254.98164,17.462782,255.67728
20200714T2100,13.713199,83.0,1012.9,0.0,8.628235,261.11935,13.084402,262.09283
20200714T2200,13.033198,88.0,1013.1,0.0,6.270311,257.73523,11.440978,257.27563
20200714T2300,12.633199,90.0,1013.8,0.0,6.3322554,255.37914,11.177405,255.06857
20200715T0000,11.983198,92.0,1013.8,0.0,6.3322554,247.75098,8.891344,248.62938
20200715T0100,11.8731985,93.0,1013.3,0.0,4.4337797,237.26477,6.489992,236.30994
20200715T0200,11.893199,93.0,1012.5,0.0,4.295571,240.25513,11.753877,242.65013
20200715T0300,11.883199,94.0,1011.9,0.0,5.3876066,261.46924,12.074766,259.69516
20200715T0400,11.673199,94.0,1012.0,0.2,5.3876066,261.46924,12.015589,261.38434
20200715T0500,11.433199,95.0,1011.5,0.2,4.72062,253.61046,10.739833,256.42957
20200715T0600,11.703198,95.0,1011.7,0.2,5.2339296,255.25644,11.090103,256.86597
20200715T0700,12.153198,93.0,1011.1,0.0,7.078424,250.20113,11.384199,251.56506
20200715T0800,12.923199,90.0,1011.0,0.0,8.891537,261.38434,13.397612,263.82983
20200715T0900,13.913198,84.0,1011.8,0.0,11.748814,273.9005,18.448023,275.59933
20200715T1000,13.813198,85.0,1012.2,0.0,12.358204,277.4314,20.418695,279.1302
20200715T1100,13.923199,85.0,1012.3,0.2,12.395474,278.65253,20.833395,279.95062
20200715T1200,14.303199,83.0,1012.3,0.0,13.322664,281.5346,21.67487,281.49658
20200715T1300,15.853198,76.0,1012.4,0.0,15.574719,282.84772,24.098497,283.82864
20200715T1400,15.863198,75.0,1012.3,0.0,15.597487,277.85333,23.319553,278.88065
20200715T1500,15.783198,74.0,1012.9,0.0,18.091677,283.627,28.202042,284.03625
20200715T1600,16.503197,71.0,1013.2,0.0,19.5473,287.4472,30.625402,287.796
20200715T1700,16.133198,73.0,1013.6,0.0,19.801605,289.6538,31.559086,290.70905
20200715T1800,16.153198,73.0,1013.5,0.0,18.750473,292.55725,30.018473,292.56702
20200715T1900,15.603198,75.0,1013.8,0.0,18.056341,291.64444,29.548521,292.1903
20200715T2000,15.1231985,78.0,1014.4,0.0,17.562206,292.28558,29.215502,292.45694
20200715T2100,14.383199,81.0,1014.7,0.0,16.127655,292.32867,27.416782,293.1986
20200715T2200,13.463199,85.0,1015.6,0.0,14.5937605,291.41296,25.671307,292.24902
20200715T2300,12.923199,87.0,1016.1,0.0,13.314671,289.88516,23.933907,291.16125
20200716T0000,12.663198,88.0,1016.3,0.0,12.599903,283.4486,22.89611,286.44037
20200716T0100,12.473199,88.0,1016.4,0.0,12.540622,282.26477,23.051247,284.47028
20200716T0200,12.253199,89.0,1016.3,0.0,10.444103,264.14398,22.42427,264.47247
20200716T0300,11.953198,91.0,1016.2,0.0,9.594099,268.40887,22.68,270.0
20200716T0400,11.863198,93.0,1016.3,0.0,8.150272,258.69006,20.364674,261.8699
20200716T0500,12.433199,94.0,1016.2,0.0,9.092791,264.95755,19.09358,267.83893
